代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率,概念
300727,润禾材料,32.24,1.99,0.63,-0.12,3.14,0.65,4.65,1.15亿,1.13亿,36.51亿,42.99,"有机硅概念,硅能源,创业板重组松绑"
300729,乐歌股份,18.79,0.64,0.12,0.0,1.47,0.41,3.05,0.57亿,2.08亿,39.00亿,21.29,"智能家居,健康中国,创业板重组松绑,人民币贬值受益,人工智能,跨境电商,三胎概念"
300730,科创信息,15.22,-0.46,-0.07,-0.13,32.54,1.74,10.53,9.13亿,1.76亿,26.72亿,--,"信创,疫情监测,家庭医生,华为鲲鹏,电子身份证,东数西算（算力）,数据安全,数据中心,网络安全,数字乡村,网络直播,智慧政务,云计算,工业互联网,云办公,创业板重组松绑,数字孪生,边缘计算,区块链,人工智能,数字货币,互联网医疗,国产软件,华为概念,无人驾驶,机器视觉,百度概念,大数据,智能医疗,智慧城市,移动支付,物联网,数字经济"
300731,科创新源,18.36,0.6,0.11,-0.27,1.23,0.6,2.14,0.27亿,1.20亿,22.06亿,--,"比亚迪概念,汽车热管理,数据中心,富士康概念,宁德时代概念,华为概念,5G,创投,新能源汽车"
300732,设研院,10.28,0.2,0.02,0.1,1.51,0.47,1.66,0.50亿,3.22亿,33.15亿,13.43,"时空大数据,光伏建筑一体化,碳交易,新型城镇化,装配式建筑,雄安新区,地下管网,一带一路"
300733,西菱动力,23.24,0.52,0.12,-0.04,0.48,0.73,1.69,0.14亿,1.23亿,28.61亿,80.59,"成飞概念,比亚迪概念,年报预增,创业板重组松绑,军工,新能源汽车"
300735,光弘科技,11.55,-0.6,-0.07,0.09,2.46,0.93,3.79,2.17亿,7.53亿,86.94亿,33.35,"EDR概念,储能,华为汽车,安防,消费电子概念,智能家居,宠物经济,深股通,汽车电子,华为概念,小米概念,智能穿戴,光伏概念,融资融券,5G,卫星导航,移动支付,物联网"
300736,百邦科技,16.46,5.11,0.8,-0.42,3.61,1.26,6.83,0.74亿,1.28亿,21.11亿,--,"创业板重组松绑,区块链,华为概念,苹果概念"
300737,科顺股份,11.77,0.17,0.02,0.0,1.4,0.93,4.08,1.47亿,8.88亿,104.56亿,74.91,"新型城镇化,深股通,融资融券,水利"
300738,奥飞数据,14.65,1.95,0.28,0.0,4.57,0.56,4.66,4.50亿,6.84亿,100.27亿,68.31,"东数西算（算力）,数据中心,网络安全,云计算,边缘计算,深股通,粤港澳大湾区,一带一路,百度概念,光伏概念,融资融券,大数据"
300739,明阳电路,15.58,-0.51,-0.08,-0.26,1.25,0.81,2.3,0.56亿,2.90亿,45.15亿,25.55,"PCB概念,年报预增,储能,人民币贬值受益,粤港澳大湾区,芯片概念,融资融券,5G"
300740,水羊股份,14.2,2.16,0.3,0.07,4.29,2.72,3.96,2.14亿,3.56亿,50.49亿,34.82,"毛发医疗,拼多多概念,医美概念,网红经济,深股通,跨境电商,融资融券,电子商务"
300741,华宝股份,25.63,-0.2,-0.05,0.0,0.28,0.95,1.4,0.45亿,6.16亿,157.85亿,21.77,"新型烟草,烟草,人造肉,深股通,融资融券"
300742,越博动力,8.64,1.65,0.14,0.0,5.01,0.57,2.35,0.49亿,1.12亿,9.71亿,--,"毫米波雷达,工业4.0,车联网,创业板重组松绑,燃料电池,无人驾驶,新能源汽车"
300743,天地数码,13.89,3.81,0.51,-0.07,4.14,0.9,4.11,0.57亿,1.00亿,13.90亿,52.57,"专精特新,创业板重组松绑,人民币贬值受益"
300745,欣锐科技,42.01,0.29,0.12,0.02,2.46,1.02,3.22,1.02亿,0.99亿,41.51亿,533.73,"比亚迪概念,高压快充,燃料电池,深股通,融资融券,新能源汽车"
300746,汉嘉设计,10.63,0.85,0.09,0.09,1.61,0.42,2.09,0.38亿,2.21亿,23.51亿,48.58,"天然气,光伏建筑一体化,新型城镇化,垃圾分类,装配式建筑,杭州亚运会,建筑节能"
300747,锐科激光,25.98,-3.31,-0.89,0.0,1.72,1.76,4.39,2.28亿,5.07亿,131.81亿,334.99,"数字水印,国企改革,央企国企改革,工业母机,深股通,融资融券,高端装备,5G"
300748,金力永磁,28.37,0.67,0.19,0.0,1.29,1.26,1.42,2.59亿,7.06亿,200.18亿,33.83,"年报预增,特斯拉,MSCI概念,深股通,融资融券,风电,稀土永磁,新能源汽车"
300749,顶固集创,7.97,0.13,0.01,0.0,1.06,0.94,1.88,0.13亿,1.56亿,12.41亿,28.00,"恒大概念,智能家居,工业4.0,人工智能"
300750,宁德时代,406.05,1.49,5.94,0.03,0.91,1.69,2.62,80.34亿,21.57亿,8759.28亿,32.27,"年报预增,钠离子电池,储能,同花顺漂亮100,特斯拉,动力电池回收,宁德时代概念,MSCI概念,深股通,融资融券,锂电池,新能源汽车"
300751,迈为股份,305.0,-1.56,-4.82,0.22,1.22,0.93,3.0,4.45亿,1.20亿,364.49亿,57.96,"长三角一体化,HJT电池,OLED,MSCI概念,深股通,光伏概念,融资融券,锂电池"
300752,隆利科技,18.66,0.05,0.01,0.0,1.14,0.59,1.82,0.28亿,1.34亿,25.00亿,--,"比亚迪概念,MiniLED,虚拟现实,汽车电子,华为概念,小米概念"
300753,爱朋医疗,14.85,1.09,0.16,0.0,1.42,0.51,1.84,0.16亿,0.75亿,11.14亿,--,"血氧仪,专精特新,医美概念,人工智能,医疗器械概念,三胎概念"
300755,华致酒行,30.7,1.66,0.5,0.26,0.75,1.28,2.88,0.95亿,4.11亿,126.23亿,27.14,"新零售,深股通,融资融券"
300756,金马游乐,17.02,1.92,0.32,-0.18,2.64,0.84,2.93,0.41亿,0.92亿,15.68亿,124.98,"元宇宙,虚拟现实,三胎概念"
300757,罗博特科,53.5,-4.46,-2.5,0.0,2.71,1.38,6.54,1.52亿,1.04亿,55.64亿,4186.54,"TOPCON电池,工业4.0,HJT电池,工业互联网,深股通,集成电路概念,华为概念,光伏概念,高端装备,新能源汽车"
300758,七彩化学,12.17,1.42,0.17,-0.41,1.84,1.06,4.5,0.72亿,3.16亿,38.49亿,162.21,"钙钛矿电池,专精特新,钠离子电池,新材料概念,光刻胶,深股通,染料"
300759,康龙化成,48.97,-14.16,-8.08,-0.31,5.75,4.06,13.22,26.55亿,9.46亿,463.11亿,42.44,"创新药,CRO概念,MSCI概念,人民币贬值受益,深股通,融资融券,生物医药"
300760,迈瑞医疗,311.71,-0.56,-1.75,-0.25,0.19,0.9,1.36,7.05亿,12.12亿,3779.30亿,34.98,"方舱医院,新冠检测,同花顺漂亮100,MSCI概念,深股通,医疗器械概念,融资融券"
300761,立华股份,39.59,-1.05,-0.42,0.43,1.43,1.15,5.22,1.85亿,3.22亿,127.33亿,21.01,"食品安全,猪肉,养鸡,深股通,融资融券"
300762,上海瀚讯,14.51,-0.34,-0.05,0.07,0.75,0.42,1.79,0.69亿,6.28亿,91.11亿,76.56,"专精特新,军民融合,深股通,国产软件,芯片概念,融资融券,无人机,5G,智慧城市,军工"
300763,锦浪科技,133.58,-0.42,-0.57,0.0,1.63,1.09,3.31,6.59亿,3.00亿,400.75亿,56.5,"年报预增,储能,深股通,光伏概念,融资融券"
300765,新诺威,20.47,1.39,0.28,0.0,1.11,0.65,4.11,1.24亿,5.46亿,111.77亿,18.33,"年报预增,深股通,融资融券"
300766,每日互动,18.5,-2.12,-0.4,0.16,9.63,1.02,6.08,6.00亿,3.43亿,63.39亿,265.26,"比亚迪概念,抖音概念,数据安全,共同富裕示范区,鸿蒙概念,智慧政务,拼多多概念,快手概念,智能交通,华为概念,百度概念,大数据"
300767,震安科技,41.1,0.61,0.25,-0.44,0.59,0.66,2.57,0.51亿,2.09亿,86.05亿,96.72,"装配式建筑,深股通,融资融券"
300768,迪普科技,18.88,1.5,0.28,-0.21,1.0,0.47,3.98,0.73亿,3.85亿,72.72亿,133.74,"信创,华为鲲鹏,数据安全,数据中心,网络安全,云计算,工业互联网,国产操作系统,人工智能,深股通,华为概念,融资融券,量子科技"
300769,德方纳米,189.42,-1.8,-3.48,-0.08,2.76,2.1,5.3,8.28亿,1.55亿,293.07亿,13.83,"年报预增,专精特新,储能,宁德时代概念,深股通,融资融券,锂电池,新能源汽车"
300770,新媒股份,46.18,3.15,1.41,-0.22,0.99,0.71,4.47,1.05亿,2.31亿,106.70亿,15.39,"国企改革,NFT概念,知识产权保护,超清视频,人工智能,腾讯概念,深股通,华为概念,小米概念,互联网彩票,融资融券,文化传媒"
300771,智莱科技,14.25,1.21,0.17,0.14,2.02,0.68,2.2,0.52亿,1.82亿,25.98亿,15.01,"换电概念,人民币贬值受益,冷链物流,人脸识别,智慧城市,物联网"
300772,运达股份,14.58,-1.35,-0.2,-0.07,1.48,0.74,1.96,1.02亿,4.69亿,68.32亿,16.70,"国企改革,储能,深股通,融资融券,风电"
300773,拉卡拉,18.78,1.02,0.19,-0.05,2.94,0.69,4.09,4.13亿,7.57亿,142.24亿,27.20,"数据确权,跨境支付（CIPS）,参股保险,MSCI概念,区块链,数字货币,深股通,华为概念,智能穿戴,融资融券,大数据,移动支付,参股券商"
300774,倍杰特,13.3,3.74,0.48,0.0,10.16,1.44,4.68,1.65亿,1.24亿,16.46亿,34.38,"盐湖提锂,深股通,PPP概念,融资融券,污水处理"
300775,三角防务,34.3,-0.35,-0.12,-0.12,0.85,1.02,1.28,1.41亿,4.81亿,164.85亿,30.15,"专精特新,海工装备,深股通,航空发动机,融资融券,军工"
300776,帝尔激光,108.36,-0.52,-0.57,-0.04,2.92,1.02,3.3,3.19亿,1.00亿,108.69亿,41.23,"TOPCON电池,钙钛矿电池,HJT电池,深股通,光伏概念,融资融券"
300777,中简科技,50.8,1.36,0.68,0.0,0.92,1.05,2.61,1.91亿,4.07亿,206.79亿,52.29,"年报预增,专精特新,新材料概念,深股通,融资融券,碳纤维,军工"
300778,新城市,19.03,1.39,0.26,0.0,3.56,0.48,1.86,1.01亿,1.50亿,28.51亿,40.57,"换电概念,新型城镇化,垃圾分类,地下管网,华为概念,乡村振兴,智慧城市"
300779,惠城环保,38.36,2.59,0.97,-0.1,2.25,0.73,3.77,0.79亿,0.92亿,35.32亿,--,"固废处理,稀土永磁"
300780,德恩精工,16.16,1.25,0.2,0.06,2.11,0.55,1.75,0.30亿,0.88亿,14.23亿,21.14,"减速器,年报预增,工业母机,专精特新,机器人概念,工业互联网,人民币贬值受益,新能源汽车"
300781,因赛集团,30.8,3.39,1.01,0.03,5.42,0.62,4.46,1.33亿,0.81亿,24.98亿,78.79,"ChatGPT概念,AIGC概念,抖音概念,虚拟数字人,元宇宙,NFT概念,网络直播,快手概念,网红经济,人工智能,腾讯概念,跨境电商,阿里巴巴概念,华为概念,横琴新区"
300782,卓胜微,124.4,1.07,1.32,0.58,1.38,0.74,2.97,7.20亿,4.22亿,525.31亿,61.73,"WiFi 6,同花顺漂亮100,MSCI概念,人民币贬值受益,深股通,华为概念,小米概念,芯片概念,融资融券,5G,卫星导航,物联网"
300783,三只松鼠,19.74,-0.5,-0.1,0.05,1.0,1.03,1.46,0.80亿,4.01亿,79.16亿,63.5,"专精特新,食品安全,网络直播,网红经济,宠物经济,新零售,深股通,三胎概念,电子商务"
300785,值得买,49.87,3.12,1.51,-0.02,8.04,0.68,6.87,3.00亿,0.76亿,37.84亿,189.12,"AIGC概念,抖音概念,NFT概念,拼多多概念,新零售,阿里巴巴概念,百度概念,电子商务"
300786,国林科技,17.49,2.28,0.39,0.06,2.14,0.5,3.63,0.51亿,1.37亿,23.98亿,199.60,"空气能热泵,专精特新,新材料概念,氢能源,节能环保,芯片概念,光伏概念,污水处理"
300787,海能实业,33.29,-0.89,-0.3,0.03,2.58,0.78,2.26,0.76亿,0.89亿,29.67亿,12.62,"年报预增,储能,无线充电,消费电子概念,第三代半导体,无线耳机,人民币贬值受益,智能穿戴,苹果概念"
300788,中信出版,27.05,1.65,0.44,-0.04,2.9,0.55,4.21,1.48亿,1.90亿,51.44亿,40.79,"国企改革,央企国企改革,元宇宙,知识产权保护,职业教育,百度概念,文化传媒,中字头股票,电子商务"
300789,唐源电气,25.72,2.55,0.64,0.39,1.27,0.59,3.83,0.18亿,0.55亿,14.11亿,60.60,"高铁,一带一路"
300790,宇瞳光学,17.25,0.76,0.13,-0.06,0.84,0.54,1.75,0.36亿,2.50亿,43.14亿,46.09,"安防,ETC,职业教育,深股通,华为概念,机器视觉"
300791,仙乐健康,35.95,0.0,0.0,-0.14,0.27,0.56,2.53,0.17亿,1.76亿,63.27亿,27.62,深股通
300792,壹网壹创,34.57,1.95,0.66,0.03,2.94,0.64,3.95,2.03亿,2.02亿,69.73亿,42.10,"AIGC概念,抖音概念,拼多多概念,深股通,跨境电商,阿里巴巴概念,电子商务"
300793,佳禾智能,18.45,0.27,0.05,0.0,2.91,0.49,3.26,1.75亿,3.30亿,60.86亿,30.24,"血氧仪,年报预增,元宇宙,消费电子概念,机器人概念,无线耳机,人民币贬值受益,智能音箱,虚拟现实,深股通,汽车电子,华为概念,小米概念,智能穿戴,苹果概念"
300795,米奥会展,57.9,7.18,3.88,-0.04,2.36,1.91,7.76,0.66亿,0.50亿,28.87亿,--,"人民币贬值受益,摘帽,一带一路,大数据,电子商务"
300796,贝斯美,23.34,2.59,0.59,0.13,1.95,1.22,4.13,0.91亿,2.01亿,46.83亿,30.63,"年报预增,共同富裕示范区,新材料概念,人民币贬值受益"
300797,钢研纳克,17.77,1.08,0.19,-0.06,0.59,0.83,2.22,0.26亿,2.48亿,44.11亿,45.77,"国企改革,央企国企改革,食品安全,职业教育,大飞机,一带一路,稀土永磁,新能源汽车"
300798,锦鸡股份,6.74,1.35,0.09,-0.3,0.31,0.77,2.86,0.09亿,4.18亿,28.16亿,111.89,染料
300799,左江科技,163.0,4.51,7.03,-0.17,2.53,1.25,11.53,2.78亿,0.67亿,109.03亿,--,"东数西算（算力）,网络安全,深股通,芯片概念,军工"
300800,力合科技,13.27,0.61,0.08,0.15,0.57,0.68,1.74,0.13亿,1.68亿,22.32亿,31.98,"专精特新,碳中和,雄安新区,污水处理,PM2.5"
300801,泰和科技,21.03,0.62,0.13,0.1,0.82,0.71,0.77,0.23亿,1.35亿,28.44亿,11.50,"氢能源,人民币贬值受益,深股通,锂电池,磷化工"
300802,矩子科技,23.54,0.34,0.08,0.0,1.68,0.74,1.96,0.75亿,1.91亿,44.92亿,54.45,"比亚迪概念,智能制造,机器人概念,特斯拉,MiniLED,人工智能,深股通,华为概念,小米概念,机器视觉,芯片概念,光伏概念,高端装备,创投,苹果概念"
300803,指南针,53.04,2.0,1.04,0.08,2.19,0.64,3.85,4.50亿,3.92亿,207.68亿,62.8,"年报预增,互联网金融,深股通,国产软件,融资融券,大数据"
300805,电声股份,9.12,3.28,0.29,0.33,4.47,1.81,6.46,1.68亿,4.23亿,38.60亿,--,"网络直播,虚拟现实,阿里巴巴概念,华为概念"
300806,斯迪克,27.28,-4.38,-1.25,0.0,2.61,1.12,6.03,1.23亿,1.71亿,46.77亿,39.42,"专精特新,新材料概念,消费电子概念,富士康概念,特斯拉,无线耳机,深股通,华为概念,石墨烯"
300807,天迈科技,26.9,1.13,0.3,0.0,2.56,0.57,3.12,0.33亿,0.49亿,13.08亿,--,"ERP概念,比亚迪概念,疫情监测,东数西算（算力）,EDR概念,数据中心,数字乡村,车联网,云计算,网约车,人工智能,智能交通,华为概念,无人驾驶,百度概念,冷链物流,人脸识别,乡村振兴,大数据,充电桩,卫星导航,物联网,新能源汽车"
300808,久量股份,13.83,-0.29,-0.04,0.0,0.6,0.77,1.51,0.13亿,1.60亿,22.13亿,--,"露营经济,人民币贬值受益,一带一路,节能照明"
300809,华辰装备,22.58,-0.96,-0.22,-0.09,3.45,0.58,2.9,0.93亿,1.18亿,26.70亿,194.31,"工业母机,专精特新,深股通,一带一路,高端装备"
300810,中科海讯,20.44,-0.29,-0.06,0.2,1.39,0.66,1.95,0.33亿,1.18亿,24.13亿,317.85,"专精特新,海工装备,军工"
300811,铂科新材,89.7,-0.3,-0.27,0.05,1.47,0.71,4.04,1.14亿,0.86亿,77.35亿,56.23,"年报预增,专精特新,新材料概念,深股通,华为概念,芯片概念,新能源汽车"
300812,易天股份,23.66,-0.63,-0.15,0.09,12.97,0.92,4.12,2.36亿,0.79亿,18.62亿,61.38,"先进封装（Chiplet）,MicroLED概念,智能制造,专精特新,消费电子概念,OLED,MiniLED,柔性屏,芯片概念"
300813,泰林生物,40.65,2.47,0.98,-0.07,2.44,1.17,2.65,0.44亿,0.45亿,18.25亿,53.65,"抗原检测,共同富裕示范区,食品安全,机器人概念,新冠检测,细胞免疫治疗,医疗器械概念"
300814,中富电路,22.34,-1.59,-0.36,-0.05,9.31,0.7,3.3,1.05亿,0.51亿,11.35亿,43.29,"毫米波雷达,先进封装（Chiplet）,PCB概念,华为汽车,汽车电子,华为概念,融资融券,5G"
300815,玉禾田,16.73,1.21,0.2,0.0,0.36,0.66,1.57,0.20亿,3.23亿,54.06亿,10.93,"垃圾分类,医疗废物处理,PPP概念"
300816,艾可蓝,32.99,-1.9,-0.64,0.4,2.48,0.6,4.4,0.59亿,0.72亿,23.65亿,105.09,"专精特新,节能环保"
300817,双飞股份,17.22,0.41,0.07,0.12,0.48,0.56,1.52,0.11亿,1.32亿,22.74亿,40.3,"长三角一体化,特斯拉,人民币贬值受益,军工,新能源汽车"
300818,耐普矿机,22.86,7.83,1.66,-0.18,7.19,4.01,10.43,1.01亿,0.62亿,14.20亿,17.87,"专精特新,新材料概念,送转填权,宁德时代概念,人民币贬值受益,一带一路,高端装备"
300819,聚杰微纤,14.12,1.07,0.15,0.07,0.51,0.65,1.57,0.10亿,1.35亿,19.03亿,33.65,"人民币贬值受益,口罩"
300820,英杰电气,86.37,-2.57,-2.28,0.01,2.43,0.89,3.38,1.48亿,0.70亿,60.36亿,44.7,"年报预增,专精特新,储能,深股通,光伏概念,融资融券,充电桩"
300821,东岳硅材,12.04,0.58,0.07,0.08,0.26,0.68,1.17,0.37亿,12.00亿,144.48亿,28.27,"有机硅概念,硅能源,新材料概念,燃料电池,深股通,融资融券"
300822,贝仕达克,17.33,0.7,0.12,-0.12,0.57,0.51,1.86,0.15亿,1.48亿,25.69亿,33.47,"AIGC概念,智能家居,人民币贬值受益,人工智能,人脸识别,锂电池"
300823,建科机械,17.63,0.0,0.0,-0.11,0.87,0.45,1.42,0.14亿,0.94亿,16.49亿,38.66,"中俄贸易概念,专精特新,机器人概念,新型城镇化,装配式建筑,雄安新区,高铁,一带一路,核电,水利"
300824,北鼎股份,10.49,4.17,0.42,0.29,3.32,2.62,3.97,0.50亿,1.45亿,15.24亿,72.88,"健康中国,网红经济,芯片概念,家用电器,电子商务"
300825,阿尔特,11.95,1.62,0.19,-0.25,0.67,0.69,2.72,0.38亿,4.79亿,57.20亿,47.68,"减速器,一体化压铸,比亚迪概念,换电概念,宁德时代概念,燃料电池,深股通,无人驾驶,融资融券,充电桩,新能源汽车"
300826,测绘股份,14.15,-1.19,-0.17,0.14,4.49,0.47,1.89,0.43亿,0.67亿,9.48亿,52.45,"时空大数据,东数西算（算力）,土壤修复,元宇宙,鸿蒙概念,碳中和,新型城镇化,数字孪生,地下管网,国产软件,华为概念,智慧城市,水利"
300827,上能电气,58.55,-1.17,-0.69,0.0,4.81,0.71,3.46,3.06亿,1.08亿,63.06亿,229.77,"专精特新,储能,深股通,光伏概念,融资融券,智能电网"
300828,锐新科技,14.54,0.0,0.0,0.07,0.98,0.49,0.89,0.12亿,0.83亿,12.13亿,24.81,"汽车热管理,储能,机器人概念,医疗器械概念,光伏概念,5G,风电,新能源汽车"
300829,金丹科技,24.64,1.95,0.47,0.2,5.43,2.13,4.59,1.37亿,1.03亿,25.38亿,30.93,"新材料概念,农业种植,可降解塑料,参股银行,乡村振兴"
300830,金现代,10.24,2.09,0.21,0.49,5.96,0.93,4.19,1.44亿,2.40亿,24.62亿,--,"电力物联网,ChatGPT概念,信创,华为鲲鹏,鸿蒙概念,工业互联网,职业教育,人工智能,国产软件,华为概念,百度概念,大数据,充电桩,风电,特高压,智能电网,军工"
300831,派瑞股份,15.2,-0.26,-0.04,0.0,3.9,1.08,2.62,1.09亿,1.84亿,28.04亿,88.47,"国企改革,柔性直流输电,第三代半导体,芯片概念,特高压"
300832,新产业,61.17,1.31,0.79,-0.05,0.7,0.69,3.86,1.22亿,2.84亿,173.65亿,39.01,"抗原检测,猴痘概念,肝炎概念,新冠检测,深股通,医疗器械概念,融资融券,流感"
300833,浩洋股份,106.51,-3.48,-3.84,0.09,1.41,0.83,3.98,0.32亿,0.21亿,22.45亿,22.3,"年报预增,专精特新,深股通,文化传媒"
300834,星辉环材,26.25,1.43,0.37,0.0,1.32,1.9,2.09,0.21亿,0.61亿,16.12亿,36.31,"新材料概念,融资融券"
300835,龙磁科技,35.42,-0.14,-0.05,0.11,5.79,1.08,6.68,1.41亿,0.68亿,24.26亿,40.48,"专精特新,新材料概念,光伏概念,稀土永磁,新能源汽车"
300836,佰奥智能,23.99,0.34,0.08,0.08,1.08,0.44,1.51,0.10亿,0.39亿,9.28亿,95.99,"民爆概念,智能制造,机器人概念,口罩,机器视觉,充电桩,苹果概念,新能源汽车"
300837,浙矿股份,46.6,0.5,0.23,-0.21,2.35,0.72,4.79,0.37亿,0.33亿,15.49亿,25.16,"共同富裕示范区,动力电池回收"
300838,浙江力诺,17.93,-0.28,-0.05,0.0,1.92,0.62,1.22,0.18亿,0.53亿,9.45亿,25.00,"中俄贸易概念,专精特新,工业4.0,高端装备"
300839,博汇股份,17.73,1.49,0.26,0.11,4.04,0.67,4.01,0.57亿,0.79亿,14.04亿,27.77,"智能制造,年报预增,专精特新,新材料概念,氢能源"
300840,酷特智能,10.38,1.57,0.16,-0.19,4.81,0.87,3.82,0.77亿,1.54亿,16.02亿,30.71,"智能制造,工业互联网,C2M概念,华为概念,口罩"
300841,康华生物,92.6,-2.53,-2.4,-0.08,1.3,0.79,4.16,1.11亿,0.92亿,84.91亿,20.85,"动物疫苗,深股通,融资融券,生物疫苗"
300842,帝科股份,54.74,1.41,0.76,0.48,9.61,1.21,6.84,3.71亿,0.70亿,38.05亿,290.15,"TOPCON电池,专精特新,新材料概念,中芯国际概念,HJT电池,深股通,芯片概念,光伏概念,融资融券"
300843,胜蓝股份,21.33,0.38,0.08,0.09,1.67,0.77,2.17,0.17亿,0.49亿,10.48亿,39.24,"比亚迪概念,高压快充,新型烟草,消费电子概念,小米概念,充电桩,新能源汽车"
300844,山水比德,28.14,2.22,0.61,-0.64,5.4,1.01,4.14,0.25亿,0.17亿,4.72亿,--,"AIGC概念,恒大概念,元宇宙,新型城镇化,雄安新区,粤港澳大湾区,融资融券,乡村振兴"
300845,捷安高科,23.86,10.87,2.34,-0.04,13.61,2.39,12.96,2.11亿,0.66亿,15.64亿,59.07,"职业教育,数字孪生,人工智能,虚拟现实,国产软件,一带一路,军工"
300846,首都在线,15.31,1.66,0.25,0.0,17.97,0.65,6.97,8.65亿,3.21亿,49.14亿,--,"AIGC概念,东数西算（算力）,虚拟数字人,专精特新,数据中心,车联网,云计算,快手概念,边缘计算,深股通,一带一路,芯片概念"
300847,中船汉光,15.29,0.39,0.06,0.0,4.1,0.81,2.56,0.95亿,1.51亿,23.09亿,41.64,"国企改革,央企国企改革,中船系,中字头股票,军工"
300848,美瑞新材,39.18,7.84,2.85,0.0,5.09,2.53,18.22,1.40亿,0.69亿,27.17亿,72.60,"露营经济,专精特新,新材料概念,可降解塑料,深股通,华为概念"
300849,锦盛新材,11.71,1.47,0.17,0.09,0.7,0.76,1.65,0.07亿,0.89亿,10.44亿,--,"可降解塑料,人民币贬值受益"
300850,新强联,45.5,-9.0,-4.5,-0.5,8.96,2.62,7.18,8.34亿,1.99亿,90.50亿,47.46,"海工装备,MSCI概念,深股通,融资融券,高端装备,风电"
300851,交大思诺,25.1,1.13,0.28,-0.24,0.61,0.36,2.1,0.05亿,0.35亿,8.69亿,74.26,高铁
300852,四会富仕,39.84,-0.47,-0.19,-0.08,5.24,0.8,2.82,0.74亿,0.36亿,14.18亿,18.00,"毫米波雷达,比亚迪概念,PCB概念,人民币贬值受益,汽车电子,5G"
300853,申昊科技,29.45,0.31,0.09,-0.03,1.3,0.43,2.59,0.35亿,0.93亿,27.31亿,--,"专精特新,机器人概念,人工智能,智能电网"
300854,中兰环保,16.29,0.56,0.09,-0.06,1.02,0.48,1.05,0.08亿,0.46亿,7.54亿,52.41,"生物质能发电,方舱医院,土壤修复,绿色电力,碳中和,节能环保,粤港澳大湾区,融资融券,固废处理"
300855,图南股份,45.59,4.37,1.91,0.07,2.18,1.51,6.09,1.64亿,1.68亿,76.80亿,55.83,"专精特新,新材料概念,特钢概念,大飞机,深股通,航空发动机,融资融券,军工,核电"
300856,科思股份,53.55,0.89,0.47,0.26,3.82,1.26,4.58,1.21亿,0.59亿,31.58亿,26.76,"年报预增,人民币贬值受益,深股通"
300857,协创数据,24.73,-3.55,-0.91,0.0,7.2,1.41,3.43,2.52亿,1.42亿,35.05亿,46.06,"消费电子概念,机器人概念,车联网,智能音箱,腾讯概念,小米概念,芯片概念,物联网,网络游戏"
300858,科拓生物,35.7,1.13,0.4,0.48,1.78,0.81,3.6,0.34亿,0.54亿,19.23亿,54.28,"幽门螺杆菌概念,乳业,生物医药"
300859,西域旅游,35.19,-1.65,-0.59,0.0,9.0,0.89,2.6,3.03亿,0.96亿,33.68亿,490.80,"国企改革,在线旅游,摘帽,融资融券,新疆振兴"
300860,锋尚文化,61.48,1.65,1.0,-0.16,2.11,0.59,2.98,0.54亿,0.42亿,25.79亿,130.04,"虚拟数字人,元宇宙,杭州亚运会,虚拟现实,深股通,融资融券,文化传媒,世界杯"
300861,美畅股份,44.92,-0.62,-0.28,0.05,1.22,0.98,2.41,1.33亿,2.42亿,108.68亿,14.64,"年报预增,新材料概念,深股通,光伏概念,融资融券"
300862,蓝盾光电,27.45,1.25,0.34,0.15,0.81,0.89,2.36,0.19亿,0.86亿,23.57亿,52.06,"毫米波雷达,专精特新,碳中和,传感器,节能环保,智能交通,PPP概念,华为概念,融资融券,智慧城市,军工,PM2.5"
300863,卡倍亿,91.38,1.45,1.31,0.01,2.81,0.99,2.86,0.57亿,0.22亿,20.23亿,40.10,"比亚迪概念,年报预增,特斯拉,融资融券,新能源汽车"
300864,南大环境,21.37,0.09,0.02,0.38,2.47,0.59,1.73,0.20亿,0.39亿,8.28亿,26.24,"碳中和,节能环保,融资融券"
300865,大宏立,20.17,1.15,0.23,0.0,1.56,0.88,1.8,0.09亿,0.27亿,5.52亿,87.73,"新型城镇化,一带一路,融资融券"
300866,安克创新,66.42,-1.93,-1.31,0.0,2.14,0.53,2.81,2.14亿,1.51亿,100.45亿,24.39,"储能,无线充电,消费电子概念,智能家居,无线耳机,人民币贬值受益,人工智能,深股通,跨境电商,芯片概念,融资融券"
300867,圣元环保,19.84,0.86,0.17,0.15,5.9,1.28,3.96,1.83亿,1.54亿,30.60亿,25.41,"生物质能发电,绿色电力,氢能源,节能环保,医疗废物处理,光伏概念,融资融券,固废处理,污水处理"
300868,杰美特,17.43,0.46,0.08,0.35,1.3,0.48,1.56,0.14亿,0.62亿,10.73亿,--,"消费电子概念,人民币贬值受益,跨境电商,华为概念,融资融券,苹果概念"
300869,康泰医学,24.34,0.17,0.04,0.08,1.33,0.59,1.15,0.52亿,1.60亿,38.96亿,42.1,"血氧仪,抗原检测,新冠检测,互联网医疗,深股通,医疗器械概念,养老概念,融资融券,三胎概念"
300870,欧陆通,57.88,-4.41,-2.67,0.38,7.73,0.52,3.47,1.76亿,0.39亿,22.63亿,108.14,"比亚迪概念,消费电子概念,富士康概念,第三代半导体,人民币贬值受益,深股通,华为概念,融资融券,充电桩"
