代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率,概念
000050,深天马A,10.51,-0.94,-0.1,0.0,0.9,0.66,3.11,2.24亿,23.76亿,249.69亿,229.56,"国企改革,央企国企改革,电子纸,OLED,MiniLED,标普道琼斯A股,超清视频,柔性屏,MSCI概念,虚拟现实,深股通,华为概念,小米概念,智能穿戴,芯片概念,融资融券,苹果概念"
000055,方大集团,4.82,0.63,0.03,0.0,0.75,0.47,1.04,0.24亿,6.76亿,32.58亿,18.29,"绿色电力,新材料概念,光伏建筑一体化,物业管理,装配式建筑,分拆上市意愿,高铁,粤港澳大湾区,一带一路,光伏概念,融资融券,乡村振兴,节能照明,建筑节能,数字经济"
000056,皇庭国际,4.28,-0.7,-0.03,0.0,1.46,0.79,2.32,0.56亿,9.03亿,38.66亿,--,"租售同权,物业管理,参股保险,新零售,智能物流,芯片概念,融资融券"
000058,深赛格,6.51,0.31,0.02,-0.15,0.6,0.83,1.7,0.39亿,9.85亿,64.10亿,312.73,"国企改革,深圳国企改革,光伏建筑一体化,物业管理,电子竞技,深股通,华为概念,光伏概念,融资融券,卫星导航,电子商务,参股新三板,创投"
000059,华锦股份,7.44,-3.75,-0.29,0.41,3.12,0.86,5.04,3.79亿,15.99亿,119.00亿,17.41,"国企改革,央企国企改革,标普道琼斯A股,石墨电极,深股通,化肥,融资融券"
000060,中金岭南,4.92,2.08,0.1,-0.2,1.64,2.12,2.7,2.99亿,37.37亿,183.87亿,13.19,"国企改革,金属铅,期货概念,标普道琼斯A股,钴,深股通,金属铜,金属锌,金属镍,融资融券,小金属概念,稀缺资源,电子商务,黄金概念"
000061,农产品,5.75,1.05,0.06,0.0,0.34,0.54,1.76,0.33亿,16.97亿,97.57亿,57.0,"证金持股,国企改革,深圳国企改革,统一大市场,食品安全,数字乡村,网络直播,标普道琼斯A股,新零售,区块链,深股通,农村电商,冷链物流,融资融券,乡村振兴,电子商务"
000062,深圳华强,13.93,0.36,0.05,0.07,0.77,0.61,3.6,1.10亿,10.45亿,145.50亿,15.30,"证金持股,比亚迪概念,互联网金融,标普道琼斯A股,华为海思概念股,雄安新区,人民币贬值受益,深股通,粤港澳大湾区,汽车电子,华为概念,融资融券,智慧城市,电子商务,创投"
000063,中兴通讯,32.56,3.04,0.96,-0.03,2.54,0.79,4.05,32.61亿,39.80亿,1295.85亿,19.08,"6G概念,东数西算（算力）,数据中心,网络安全,消费电子概念,云计算,同花顺漂亮100,标普道琼斯A股,国产操作系统,边缘计算,MSCI概念,人工智能,虚拟现实,深股通,国产软件,汽车电子,智能穿戴,芯片概念,融资融券,5G,锂电池,智慧城市,物联网,数字经济,新能源汽车"
000065,北方国际,15.25,2.9,0.43,0.0,3.94,0.44,4.05,5.42亿,9.05亿,138.06亿,22.97,"国企改革,央企国企改革,超超临界发电,煤炭概念,标普道琼斯A股,人民币贬值受益,智能物流,深股通,一带一路,融资融券,风电"
000066,中国长城,12.38,1.73,0.21,0.0,3.16,0.73,3.62,12.18亿,31.47亿,389.57亿,--,"国企改革,央企国企改革,信创,疫情监测,东数西算（算力）,钠离子电池,数据中心,网络安全,军民融合,海工装备,车联网,云计算,标普道琼斯A股,分拆上市意愿,国产操作系统,MSCI概念,区块链,人工智能,深股通,国产软件,集成电路概念,粤港澳大湾区,汽车电子,华为概念,芯片概念,融资融券,5G,大数据,量子科技,锂电池,卫星导航,中字头股票,智慧城市,军工,数字经济"
000068,华控赛格,3.53,2.02,0.07,0.0,0.64,0.68,2.31,0.23亿,10.07亿,35.54亿,--,"国企改革,PPP概念,锂电池,石墨烯,创投"
000069,华侨城A,4.83,1.47,0.07,0.0,0.64,1.12,2.31,2.16亿,70.56亿,340.82亿,--,"证金持股,国企改革,央企国企改革,NFT概念,新型城镇化,标普道琼斯A股,冰雪产业,MSCI概念,特色小镇,深股通,体育产业,融资融券"
000070,特发信息,10.11,2.23,0.22,0.0,8.75,0.55,7.08,7.21亿,8.33亿,84.20亿,87.38,"6G概念,共封装光学（CPO）,国企改革,深圳国企改革,信创,国资云,东数西算（算力）,抖音概念,数据中心,云计算,标普道琼斯A股,人工智能,深股通,粤港澳大湾区,华为概念,一带一路,芯片概念,融资融券,无人机,5G,大数据,智慧城市,特高压,智能电网,军工,创投"
000078,海王生物,3.39,3.04,0.1,0.3,0.65,1.42,3.34,0.57亿,26.21亿,88.86亿,53.02,"新冠治疗,仿制药一致性评价,禽流感,健康中国,标普道琼斯A股,深股通,医疗器械概念,口罩,冷链物流,融资融券,生物疫苗"
000088,盐田港,5.04,-0.59,-0.03,-0.4,0.38,1.16,1.77,0.43亿,22.49亿,113.36亿,24.92,"国企改革,深圳国企改革,统一大市场,中俄贸易概念,标普道琼斯A股,雄安新区,深股通,粤港澳大湾区,冷链物流,融资融券"
000089,深圳机场,7.29,0.55,0.04,0.14,0.54,1.13,1.1,0.81亿,20.51亿,149.50亿,--,"国企改革,深圳国企改革,标普道琼斯A股,深股通,粤港澳大湾区,融资融券"
000090,天健集团,5.36,0.0,0.0,0.19,0.88,0.89,1.12,0.87亿,18.68亿,100.14亿,5.29,"国企改革,深圳国企改革,租售同权,标普道琼斯A股,深股通,粤港澳大湾区,融资融券"
000096,广聚能源,8.29,0.0,0.0,0.0,0.26,0.64,1.21,0.11亿,5.11亿,42.35亿,79.35,"国企改革,深圳国企改革,粤港澳大湾区"
000099,中信海直,7.72,1.45,0.11,0.0,1.27,0.9,1.84,0.70亿,7.10亿,54.83亿,30.83,"国企改革,央企国企改革,深股通,粤港澳大湾区,华为概念,融资融券,无人机,中字头股票,风电,通用航空,军工"
000100,TCL科技,4.43,-0.67,-0.03,0.0,1.14,0.79,2.02,6.85亿,136.52亿,604.77亿,289.41,"比亚迪概念,MicroLED概念,硅能源,绿色电力,工业4.0,工业互联网,OLED,MiniLED,标普道琼斯A股,超清视频,柔性屏,超级品牌,MSCI概念,虚拟现实,深股通,集成电路概念,华为概念,小米概念,参股银行,芯片概念,光伏概念,融资融券,参股新三板"
000150,*ST宜康,0.95,-4.04,-0.04,1.06,3.89,0.87,4.04,0.30亿,8.06亿,7.66亿,--,"民营医院,健康中国,医美概念,标普道琼斯A股,互联网医疗,养老概念,ST板块,智能医疗"
000151,中成股份,13.8,1.4,0.19,0.0,3.74,0.49,1.84,1.37亿,2.67亿,36.78亿,--,"国企改革,央企国企改革,中俄贸易概念,新材料概念,人民币贬值受益,一带一路,融资融券,中字头股票,固废处理,京津冀一体化"
000153,丰原药业,9.51,2.15,0.2,0.0,2.13,1.3,2.58,0.63亿,3.12亿,29.67亿,18.73,"新冠治疗,代糖概念,口罩,眼科医疗,生物医药,流感,金改"
000155,川能动力,15.92,1.4,0.22,0.06,0.98,1.32,2.17,2.02亿,12.97亿,206.47亿,33.10,"国企改革,比亚迪概念,年报预增,绿色电力,储能,节能环保,盐湖提锂,动力电池回收,宁德时代概念,深股通,光伏概念,融资融券,锂电池,风电,磷化工,新能源汽车"
000156,华数传媒,8.94,2.52,0.22,0.0,0.69,0.9,2.98,0.96亿,15.65亿,139.92亿,20.91,"国企改革,标普道琼斯A股,超清视频,杭州亚运会,虚拟现实,深股通,融资融券,5G,乡村振兴,大数据,文化传媒,智慧城市,物联网,数字经济"
000157,中联重科,6.21,0.65,0.04,0.0,0.48,1.18,1.95,2.13亿,70.69亿,438.97亿,23.37,"证金持股,农机,工业互联网,节能环保,标普道琼斯A股,宁德时代概念,MSCI概念,深股通,一带一路,融资融券,高端装备,乡村振兴,固废处理"
000158,常山北明,9.1,7.06,0.6,0.0,16.28,1.07,10.23,22.63亿,15.81亿,143.89亿,--,"数据确权,国企改革,信创,疫情监测,华为鲲鹏,国资云,数据安全,数据中心,网络安全,机器人概念,智慧政务,工业互联网,标普道琼斯A股,雄安新区,区块链,人工智能,腾讯概念,智能交通,深股通,国产软件,华为概念,参股银行,百度概念,冷链物流,融资融券,大数据,智慧城市,电子商务,京津冀一体化,数字经济"
000159,国际实业,7.6,1.06,0.08,-0.13,0.98,0.72,2.0,0.36亿,4.81亿,36.53亿,9.18,"年报预增,举牌,壳资源,一带一路,光伏概念,融资融券,新疆振兴"
000166,申万宏源,4.17,-0.71,-0.03,0.0,0.15,0.93,0.71,1.37亿,225.35亿,939.73亿,37.44,"证金持股,国企改革,央企国企改革,期货概念,标普道琼斯A股,MSCI概念,深股通,融资融券"
000301,东方盛虹,13.62,-0.15,-0.02,0.07,0.32,0.56,2.05,2.38亿,55.00亿,749.05亿,42.81,"POE胶膜,长三角一体化,同花顺漂亮100,标普道琼斯A股,MSCI概念,深股通,光伏概念,融资融券,电子商务"
000333,美的集团,53.81,-1.21,-0.66,-0.28,0.41,1.28,2.31,15.00亿,68.53亿,3687.64亿,11.54,"证金持股,空气能热泵,智能制造,MCU芯片,机器人概念,智能家居,工业4.0,工业互联网,同花顺漂亮100,标普道琼斯A股,超级品牌,深股通,芯片概念,融资融券,家用电器,物联网"
000338,潍柴动力,12.61,2.77,0.34,0.0,1.24,1.01,2.61,7.87亿,50.48亿,636.59亿,22.43,"证金持股,国企改革,农机,氢能源,节能环保,同花顺漂亮100,标普道琼斯A股,分拆上市意愿,MSCI概念,燃料电池,智能物流,深股通,融资融券,高端装备,新能源汽车"
000400,许继电气,23.4,-0.21,-0.05,-0.13,0.69,0.61,1.71,1.63亿,10.08亿,235.94亿,27.31,"电力物联网,国企改革,央企国企改革,柔性直流输电,高压快充,换电概念,虚拟电厂,抽水蓄能,储能,无线充电,特斯拉,标普道琼斯A股,深股通,一带一路,光伏概念,融资融券,高端装备,充电桩,特高压,智能电网"
000401,冀东水泥,8.68,-0.57,-0.05,0.0,0.51,0.7,1.49,0.69亿,15.47亿,134.31亿,17.00,"国企改革,标普道琼斯A股,水泥概念,MSCI概念,雄安新区,债转股(AMC概念),深股通,融资融券,固废处理,京津冀一体化"
000402,金融街,5.02,0.0,0.0,-0.2,0.46,0.81,1.39,0.70亿,29.88亿,149.99亿,8.16,"证金持股,国企改革,碳中和,碳交易,物业管理,标普道琼斯A股,MSCI概念,特色小镇,深股通,融资融券,参股券商"
000403,派林生物,23.68,1.41,0.33,0.04,0.84,0.62,2.01,1.27亿,6.39亿,151.42亿,37.22,"年报预增,深股通,融资融券,生物医药"
000404,长虹华意,6.1,2.52,0.15,0.0,3.85,1.34,2.69,1.62亿,6.95亿,42.40亿,16.16,"国企改革,汽车热管理,机器人概念,智能家居,工业4.0,节能环保,冷链物流,融资融券,家用电器,锂电池,新能源汽车"
000407,胜利股份,3.77,0.53,0.02,0.0,0.89,0.69,1.33,0.30亿,8.76亿,33.02亿,21.87,"俄乌冲突概念,天然气,新型城镇化,地下管网,充电桩,页岩气"
000408,藏格矿业,24.16,-0.49,-0.12,-0.17,0.32,0.5,1.07,1.22亿,15.80亿,381.83亿,6.75,"年报预增,盐湖提锂,深股通,金属铜,化肥,融资融券,小金属概念,锂电池"
000409,云鼎科技,9.84,7.42,0.68,0.1,11.0,0.67,7.86,4.48亿,4.23亿,41.66亿,291.67,"ERP概念,时空大数据,国企改革,数据中心,网络安全,煤化工,军民融合,工业互联网,国产操作系统,人工智能,华为概念,卫星导航,物联网,参股新三板"
000410,*ST沈机,5.99,1.35,0.08,0.0,0.16,0.91,2.54,0.16亿,16.81亿,100.69亿,3060.04,"国企改革,央企国企改革,工业母机,机器人概念,工业4.0,工业互联网,债转股(AMC概念),腾讯概念,高端装备,ST板块"
000411,英特集团,12.4,2.4,0.29,0.0,1.25,0.87,2.48,0.46亿,3.01亿,37.30亿,17.95,"国企改革,医药电商,医疗器械概念,冷链物流,数字经济"
000413,东旭光电,1.86,0.54,0.01,-0.54,0.57,0.71,2.16,0.53亿,50.29亿,93.55亿,--,"智慧灯杆,机器人概念,OLED,标普道琼斯A股,MSCI概念,燃料电池,深股通,华为概念,口罩,小米概念,融资融券,高端装备,石墨烯,节能照明,新能源汽车"
000415,渤海租赁,2.1,0.0,0.0,-0.47,0.2,0.51,0.95,0.22亿,53.93亿,113.25亿,--,"标普道琼斯A股,MSCI概念,雄安新区,深股通,融资融券"
000416,民生控股,3.95,0.77,0.03,-0.25,1.01,0.57,1.79,0.21亿,5.32亿,21.00亿,--,"期货概念,壳资源,金改"
000417,合肥百货,5.15,3.0,0.15,0.0,2.08,1.65,3.6,0.83亿,7.79亿,40.12亿,15.17,"证金持股,国企改革,统一大市场,预制菜,室外经济,新零售,跨境电商,冷链物流,融资融券"
000419,通程控股,5.95,2.41,0.14,0.0,2.43,1.88,3.27,0.78亿,5.43亿,32.33亿,15.35,"国企改革,参股保险,新零售,参股银行,金改"
000420,吉林化纤,4.26,0.47,0.02,0.0,0.51,0.47,1.89,0.53亿,24.58亿,104.71亿,--,"国企改革,深股通,融资融券,碳纤维"
000421,南京公用,5.0,0.6,0.03,-0.2,0.46,0.62,1.61,0.13亿,5.73亿,28.63亿,--,"国企改革,天然气,物业管理,网约车,充电桩"
000422,湖北宜化,14.28,0.42,0.06,0.0,0.62,0.65,0.98,0.80亿,8.98亿,128.21亿,5.95,"国企改革,天然气,煤化工,煤炭概念,可降解塑料,宁德时代概念,MSCI概念,深股通,化肥,融资融券,磷化工"
000423,东阿阿胶,52.99,1.88,0.98,-0.06,1.25,0.82,3.17,4.33亿,6.54亿,346.57亿,44.43,"国企改革,央企国企改革,预制菜,年报预增,标普道琼斯A股,超级品牌,MSCI概念,深股通,融资融券,电子商务"
000425,徐工机械,6.93,-2.12,-0.15,-0.29,1.71,0.77,1.55,5.73亿,48.37亿,335.18亿,13.13,"证金持股,国企改革,工业4.0,工业互联网,标普道琼斯A股,MSCI概念,深股通,一带一路,融资融券,高端装备,军工"
000426,兴业矿业,8.06,2.41,0.19,0.25,1.34,0.93,3.69,1.58亿,14.75亿,118.89亿,48.31,"金属铅,俄乌冲突概念,标普道琼斯A股,钴,深股通,金属锌,金属镍,融资融券,小金属概念"
000428,华天酒店,5.36,-1.65,-0.09,-0.19,3.78,1.42,2.2,2.06亿,10.19亿,54.61亿,--,"国企改革,股权转让,预制菜,职业教育,深股通,融资融券"
000429,粤高速A,7.55,0.13,0.01,-0.13,0.27,0.71,1.33,0.26亿,13.03亿,98.40亿,12.36,"国企改革,标普道琼斯A股,深股通,粤港澳大湾区,参股券商"
000430,张家界,8.66,-0.23,-0.02,0.12,5.27,1.15,2.54,1.51亿,3.32亿,28.73亿,--,"国企改革,腾讯概念"
000488,晨鸣纸业,5.31,0.38,0.02,-0.19,0.8,1.16,1.7,0.71亿,16.84亿,89.40亿,83.59,"国企改革,期货概念,碳中和,标普道琼斯A股,区块链,深股通,参股银行,融资融券,污水处理"
000498,山东路桥,7.46,2.05,0.15,0.0,1.53,0.98,4.1,1.66亿,14.58亿,108.76亿,4.65,"国企改革,装配式建筑,标普道琼斯A股,腾讯概念,深股通,PPP概念,高铁,一带一路,融资融券,智慧城市,水利"
000501,武商集团,11.99,1.01,0.12,0.34,1.63,1.19,2.7,1.49亿,7.68亿,92.09亿,30.26,"国企改革,露营经济,预制菜,社区团购,免税店,标普道琼斯A股,新零售,深股通,白酒概念,一带一路,参股银行,融资融券,电子商务"
000503,国新健康,10.9,4.81,0.5,0.0,2.77,1.23,6.25,2.69亿,8.99亿,97.97亿,--,"DRG/DIP,国企改革,央企国企改革,家庭医生,健康中国,海南自贸区,标普道琼斯A股,互联网医疗,深股通,养老概念,华为概念,融资融券,智能医疗,电子商务,数字经济"
000504,南华生物,11.73,-0.17,-0.02,0.09,0.75,0.45,3.15,0.27亿,3.11亿,36.44亿,5069.29,"国企改革,节能环保,细胞免疫治疗"
000505,京粮控股,8.18,2.38,0.19,-0.12,1.46,1.84,2.88,0.74亿,6.21亿,50.78亿,42.05,"国企改革,粮食概念,海南自贸区,网红经济,新零售,深股通,融资融券"
000506,中润资源,5.05,3.48,0.17,0.2,10.43,0.75,3.07,4.85亿,9.29亿,46.90亿,16.91,"物业管理,人民币贬值受益,一带一路,融资融券,黄金概念"
000507,珠海港,5.59,0.18,0.01,0.0,0.65,0.73,1.25,0.33亿,9.02亿,50.44亿,17.99,"国企改革,统一大市场,天然气,深股通,广东自贸区,粤港澳大湾区,一带一路,光伏概念,航运概念,风电,参股新三板,横琴新区"
000509,华塑控股,3.89,-1.02,-0.04,0.0,0.38,0.74,1.27,0.16亿,10.73亿,41.74亿,919.17,"国企改革,信创,数据安全,网络安全,民营医院,摘帽"
000510,新金路,6.39,0.31,0.02,0.0,1.2,0.42,1.26,0.44亿,5.68亿,36.33亿,407.61,"毫米波雷达,芯片概念,石墨烯,军工"
000513,丽珠集团,37.38,6.5,2.28,0.05,3.77,6.55,5.9,8.42亿,6.06亿,226.47亿,18.32,"抗原检测,创新药,猴痘概念,新冠治疗,仿制药一致性评价,基因测序,新冠检测,辅助生殖,标普道琼斯A股,宠物经济,MSCI概念,深股通,融资融券,生物医药,参股新三板,流感,横琴新区,生物疫苗"
000514,渝开发,4.04,0.75,0.03,0.25,0.6,0.58,1.5,0.20亿,8.44亿,34.09亿,20.94,"国企改革,物业管理,债转股(AMC概念),金改"
000516,国际医学,10.25,4.06,0.4,0.1,1.72,1.36,4.16,3.32亿,19.00亿,194.73亿,--,"高压氧舱,民营医院,基因测序,健康中国,医美概念,辅助生殖,标普道琼斯A股,互联网医疗,深股通,阿里巴巴概念,摘帽,融资融券,智能医疗"
000517,荣安地产,2.86,-0.35,-0.01,0.0,0.37,0.69,1.39,0.27亿,24.97亿,71.40亿,7.35,"长三角一体化,标普道琼斯A股,深股通,融资融券,建筑节能"
