基金代码,基金简称,发行公司,基金类型,集中认购期,募集份额,成立日期,成立来涨幅,基金经理,申购状态,优惠费率
011309,富国消费主题混合C,富国基金,混合型-偏股,20/05/10～20/06/11,,2021-01-18,-8.34,王园园,开放申购,0.0
011307,富国天益价值混合C,富国基金,混合型-灵活,20/05/10～20/06/11,,2021-01-18,-36.56,唐颐恒,开放申购,0.0
008887,华夏国证半导体芯片ETF联接A,华夏基金,指数型-股票,20/05/08～20/05/28,10.28,2020-06-02,15.25,赵宗庭,开放申购,0.12
008888,华夏国证半导体芯片ETF联接C,华夏基金,指数型-股票,20/05/08～20/05/28,10.28,2020-06-02,14.27,赵宗庭,开放申购,0.0
009333,博时恒裕持有期混合C,博时基金,混合型-偏债,20/05/08～20/05/13,46.77,2020-05-18,-3.85,"王申,李睿",开放申购,0.0
009332,博时恒裕持有期混合A,博时基金,混合型-偏债,20/05/08～20/05/13,46.77,2020-05-18,-2.59,"王申,李睿",开放申购,0.1
009487,光大瑞和混合C,光大保德信基,混合型-偏股,20/05/07～20/06/24,2.0,2020-06-29,-11.52,王明旭,开放申购,0.0
009486,光大瑞和混合A,光大保德信基,混合型-偏股,20/05/07～20/06/24,2.0,2020-06-29,-10.36,王明旭,开放申购,0.15
004929,华润元大欣享混合C,华润元大基金,混合型-偏债,20/05/06～20/08/05,0.15,2020-08-10,-3.17,"李武群,罗黎军",开放申购,0.0
004928,华润元大欣享混合A,华润元大基金,混合型-偏债,20/05/06～20/08/05,0.15,2020-08-10,-2.9,"李武群,罗黎军",开放申购,0.08
009028,浦银安盛安远回报一年混合C,浦银安盛基金,混合型-偏债,20/05/06～20/07/10,2.33,2020-07-15,15.92,"褚艳辉,赵楠",开放申购,0.0
009027,浦银安盛安远回报一年混合A,浦银安盛基金,混合型-偏债,20/05/06～20/07/10,2.33,2020-07-15,17.03,"褚艳辉,赵楠",开放申购,0.8
008625,国富平衡养老三年混合(FOF)A,国海富兰克林,FOF,20/05/06～20/05/29,0.49,2020-06-03,13.8,吴弦,开放申购,0.08
017382,国富平衡养老三年混合(FOF)Y,国海富兰克林,FOF,20/05/06～20/05/29,,2022-11-18,1.92,吴弦,开放申购,0.0
009355,泰达泰和稳健养老目标一年持有混合(FOF)A,泰达宏利基金,FOF,20/05/06～20/05/27,9.18,2020-06-02,8.45,张晓龙,开放申购,0.08
018162,泰达泰和稳健养老目标一年持有混合(FOF)Y,泰达宏利基金,FOF,20/05/06～20/05/27,,2023-03-27,0.73,张晓龙,开放申购,0.0
008609,广发养老目标日期2040三年持有期混合发起式(FOF)A,广发基金,FOF,20/05/06～20/05/19,0.51,2020-05-22,3.72,朱坤,开放申购,0.15
017402,广发养老目标日期2040三年持有期混合发起式(FOF)Y,广发基金,FOF,20/05/06～20/05/19,,2022-11-17,2.69,朱坤,开放申购,0.0
009387,嘉实稳福混合A,嘉实基金,混合型-偏债,20/05/06～20/05/07,3.5,2020-05-09,18.32,"高群山,罗伟卿,韩同利",开放申购,0.08
009388,嘉实稳福混合C,嘉实基金,混合型-偏债,20/05/06～20/05/07,3.5,2020-05-09,16.91,"高群山,罗伟卿,韩同利",开放申购,0.0
009317,金信核心竞争力混合,金信基金,混合型-灵活,20/05/06～20/05/06,2.01,2020-05-09,134.38,杨超,开放申购,0.12
008412,长盛竞争优势股票A,长盛基金,股票型,20/04/28～20/07/17,12.38,2020-07-23,-9.45,周思聪,开放申购,0.15
008413,长盛竞争优势股票C,长盛基金,股票型,20/04/28～20/07/17,12.38,2020-07-23,-11.39,周思聪,开放申购,0.0
009195,泰达宏利中证绩优指数基金C,泰达宏利基金,指数型-股票,20/04/28～20/07/15,2.75,2020-07-17,-13.15,"刘欣,刘洋,李婷婷",开放申购,0.0
009194,泰达宏利中证绩优指数基金A,泰达宏利基金,指数型-股票,20/04/28～20/07/15,2.75,2020-07-17,-12.2,"刘欣,刘洋,李婷婷",开放申购,0.12
014256,富国中证娱乐主题指数增强(LOF)C,富国基金,指数型-股票,20/04/28～20/06/19,,2021-12-09,10.4,牛志冬,开放申购,0.0
008312,圆信永丰优选价值C,圆信永丰基金,混合型-偏股,20/04/28～20/05/14,16.0,2020-05-18,25.86,陈臣,开放申购,0.0
008311,圆信永丰优选价值A,圆信永丰基金,混合型-偏股,20/04/28～20/05/14,16.0,2020-05-18,29.56,陈臣,开放申购,0.15
008382,融通产业趋势股票,融通基金,股票型,20/04/28～20/05/06,14.84,2020-05-09,-7.91,邹曦,开放申购,0.15
